
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
# 000053: 20 jobs
########################################################################################
[1/20] 000053__sub-npI1-sub-npI1-ses-20190413-behavior-ecep overlap  2/24  p=0.3392 no  | INDEP  0/8  p=1.0000 no  [10s]
[2/20] 000053__sub-npI1-sub-npI1-ses-20190414-behavior-ecep overlap  0/24  p=1.0000 no  | INDEP  0/8  p=1.0000 no  [15s]
[3/20] 000053__sub-npI1-sub-npI1-ses-20190415-behavior-ecep overlap  0/6   p=1.0000 no  | INDEP  0/2  p=1.0000 no  [9s]
[4/20] 000053__sub-npI1-sub-npI1-ses-20190416-behavior-ecep overlap  0/13  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [29s]
[5/20] 000053__sub-npI3-sub-npI3-ses-20190420-behavior-ecep overlap  3/93  p=0.8496 no  | INDEP  2/31 p=0.4634 no  [78s]
[6/20] 000053__sub-npI3-sub-npI3-ses-20190421-behavior-ecep overlap  0/76  p=1.0000 no  | INDEP  0/26 p=1.0000 no  [152s]
[7/20] 000053__sub-npI4-sub-npI4-ses-20190421-obj-1h2xem6-b overlap  0/14  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [17s]
[8/20] 000053__sub-npI4-sub-npI4-ses-20190421-obj-1yyd867-b overlap  0/29  p=1.0000 no  | INDEP  0/10 p=1.0000 no  [26s]
[9/20] 000053__sub-npI4-sub-npI4-ses-20190423-behavior-ecep overlap  0/13  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [53s]
[10/20] 000053__sub-npI5-sub-npI5-ses-20190414-behavior-ecep overlap  0/39  p=1.0000 no  | INDEP  0/13 p=1.0000 no  [43s]
[11/20] 000053__sub-npJ1-sub-npJ1-ses-20190521-behavior-ecep overlap  0/34  p=1.0000 no  | INDEP  0/12 p=1.0000 no  [24s]
[12/20] 000053__sub-npJ1-sub-npJ1-ses-20190523-behavior-ecep overlap  0/13  p=1.0000 no  | INDEP  0/5  p=1.0000 no  [21s]
